Date,Year,Month,State,Sales Method,Product,Gender,Type,SubType,Price per Unit,Units Sold,Revenue
2020-01-01,2020,January,New York,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,50,120,6000
2020-01-01,2020,January,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,47,34,1598
2020-01-01,2020,January,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,34,38,1292
2020-01-01,2020,January,Pennsylvania,Online,Women's Apparel,Women,Apparel,Apparel,68,8,544
2020-01-01,2020,January,Pennsylvania,Outlet,Women's Apparel,Women,Apparel,Apparel,128,36,4608
2020-01-02,2020,January,New York,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,50,100,5000
2020-01-02,2020,January,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,47,26,1222
2020-01-02,2020,January,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,36,32,1152
2020-01-02,2020,January,Pennsylvania,Online,Men's Street Footwear,Men,Footwear,Street Footwear,32,12,384
2020-01-02,2020,January,Pennsylvania,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,62,61,3782
2020-01-03,2020,January,New York,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,40,100,4000
2020-01-03,2020,January,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,36,25,900
2020-01-03,2020,January,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,32,35,1120
2020-01-03,2020,January,Pennsylvania,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,44,12,528
2020-01-03,2020,January,Pennsylvania,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,80,59,4720
2020-01-04,2020,January,New York,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,45,85,3825
2020-01-04,2020,January,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,41,25,1025
2020-01-04,2020,January,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,36,28,1008
2020-01-04,2020,January,Pennsylvania,Online,Women's Street Footwear,Women,Footwear,Street Footwear,41,12,492
2020-01-04,2020,January,Pennsylvania,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,81,59,4779
2020-01-05,2020,January,New York,In-store,Men's Apparel,Men,Apparel,Apparel,60,90,5400
2020-01-05,2020,January,New York,Online,Men's Apparel,Men,Apparel,Apparel,55,23,1265
2020-01-05,2020,January,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,43,31,1333
2020-01-05,2020,January,Pennsylvania,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,43,9,387
2020-01-05,2020,January,Pennsylvania,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,79,39,3081
2020-01-06,2020,January,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,47,7,329
2020-01-06,2020,January,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,87,33,2871
2020-01-06,2020,January,New York,In-store,Women's Apparel,Women,Apparel,Apparel,50,100,5000
2020-01-06,2020,January,New York,Online,Women's Apparel,Women,Apparel,Apparel,46,26,1196
2020-01-06,2020,January,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,38,33,1254
2020-01-07,2020,January,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,41,13,533
2020-01-07,2020,January,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,81,65,5265
2020-01-07,2020,January,New York,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,50,125,6250
2020-01-07,2020,January,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,46,31,1426
2020-01-07,2020,January,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,33,39,1287
2020-01-08,2020,January,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,34,16,544
2020-01-08,2020,January,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,62,70,4340
2020-01-08,2020,January,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,46,26,1196
2020-01-08,2020,January,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,89,122,10858
2020-01-09,2020,January,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,43,13,559
2020-01-09,2020,January,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,80,58,4640
2020-01-10,2020,January,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,41,12,492
2020-01-10,2020,January,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,76,57,4332
2020-01-11,2020,January,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,44,7,308
2020-01-11,2020,January,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,75,37,2775
2020-01-12,2020,January,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,46,5,230
2020-01-12,2020,January,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,87,27,2349
2020-01-13,2020,January,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,41,12,492
2020-01-13,2020,January,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,76,54,4104
2020-01-14,2020,January,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,43,16,688
2020-01-14,2020,January,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,76,73,5548
2020-01-15,2020,January,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,50,12,600
2020-01-15,2020,January,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,97,52,5044
2020-01-16,2020,January,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,52,10,520
2020-01-16,2020,January,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,98,53,5194
2020-01-17,2020,January,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,50,8,400
2020-01-17,2020,January,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,96,39,3744
2020-01-18,2020,January,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,55,5,275
2020-01-18,2020,January,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,104,24,2496
2020-01-19,2020,January,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,54,9,486
2020-01-19,2020,January,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,94,50,4700
2020-01-20,2020,January,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,58,14,812
2020-01-20,2020,January,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,101,72,7272
2020-01-21,2020,January,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,62,10,620
2020-01-21,2020,January,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,111,47,5217
2020-01-21,2020,January,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,36,28,1008
2020-01-21,2020,January,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,72,127,9144
2020-01-22,2020,January,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,61,12,732
2020-01-22,2020,January,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,112,52,5824
2020-01-22,2020,January,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,44,21,924
2020-01-22,2020,January,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,77,108,8316
2020-01-23,2020,January,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,59,8,472
2020-01-23,2020,January,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,100,39,3900
2020-01-23,2020,January,New York,Online,Men's Apparel,Men,Apparel,Apparel,58,24,1392
2020-01-23,2020,January,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,103,121,12463
2020-01-24,2020,January,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,63,5,315
2020-01-24,2020,January,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,112,26,2912
2020-01-24,2020,January,New York,Online,Women's Apparel,Women,Apparel,Apparel,48,29,1392
2020-01-24,2020,January,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,86,135,11610
2020-01-25,2020,January,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,78,10,780
2020-01-25,2020,January,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,134,47,6298
2020-01-25,2020,January,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,46,35,1610
2020-01-25,2020,January,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,90,161,14490
2020-01-26,2020,January,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,58,15,870
2020-01-26,2020,January,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,103,72,7416
2020-01-26,2020,January,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,48,26,1248
