Year,Month,State,Product,Sales Method,Price per Unit,Units Sold
2021,Apr,Arizona,Men's Apparel,Online,105,19
2021,Apr,Arizona,Men's Apparel,Outlet,43,5
2021,Apr,Arizona,Men's Athletic Footwear,Online,108,39
2021,Apr,Arizona,Men's Athletic Footwear,Outlet,37,9
2021,Apr,Arizona,Men's Street Footwear,Online,98,63
2021,Apr,Arizona,Men's Street Footwear,Outlet,40,18
2021,Apr,Arizona,Women's Apparel,Online,137,42
2021,Apr,Arizona,Women's Apparel,Outlet,49,11
2021,Apr,Arizona,Women's Athletic Footwear,Online,96,33
2021,Apr,Arizona,Women's Athletic Footwear,Outlet,40,8
2021,Apr,Arizona,Women's Street Footwear,Online,105,45
2021,Apr,Arizona,Women's Street Footwear,Outlet,42,12
2021,Apr,Arkansas,Men's Apparel,Online,77,32
2021,Apr,Arkansas,Men's Apparel,Outlet,31,8
2021,Apr,Arkansas,Men's Athletic Footwear,Online,49,38
2021,Apr,Arkansas,Men's Athletic Footwear,Outlet,20,10
2021,Apr,Arkansas,Men's Street Footwear,Online,48,77
2021,Apr,Arkansas,Men's Street Footwear,Outlet,19,20
2021,Apr,Arkansas,Women's Apparel,Online,58,52
2021,Apr,Arkansas,Women's Apparel,Outlet,24,12
2021,Apr,Arkansas,Women's Athletic Footwear,Online,40,29
2021,Apr,Arkansas,Women's Athletic Footwear,Outlet,13,8
2021,Apr,Arkansas,Women's Street Footwear,Online,29,38
2021,Apr,Arkansas,Women's Street Footwear,Outlet,11,10
2021,Apr,California,Men's Apparel,Online,185,57
2021,Apr,California,Men's Apparel,Outlet,353,276
2021,Apr,California,Men's Athletic Footwear,Online,189,78
2021,Apr,California,Men's Athletic Footwear,Outlet,340,373
2021,Apr,California,Men's Street Footwear,Online,169,96
2021,Apr,California,Men's Street Footwear,Outlet,309,453
2021,Apr,California,Women's Apparel,Online,286,94
2021,Apr,California,Women's Apparel,Outlet,529,444
2021,Apr,California,Women's Athletic Footwear,Online,172,67
2021,Apr,California,Women's Athletic Footwear,Outlet,305,314
2021,Apr,California,Women's Street Footwear,Online,189,76
2021,Apr,California,Women's Street Footwear,Outlet,342,368
2021,Apr,Connecticut,Men's Apparel,In-store,50,13
2021,Apr,Connecticut,Men's Apparel,Online,46,4
2021,Apr,Connecticut,Men's Apparel,Outlet,37,4
2021,Apr,Connecticut,Men's Athletic Footwear,In-store,40,20
2021,Apr,Connecticut,Men's Athletic Footwear,Online,38,6
2021,Apr,Connecticut,Men's Athletic Footwear,Outlet,30,6
2021,Apr,Connecticut,Men's Street Footwear,In-store,40,50
2021,Apr,Connecticut,Men's Street Footwear,Online,36,15
2021,Apr,Connecticut,Men's Street Footwear,Outlet,28,16
2021,Apr,Connecticut,Women's Apparel,In-store,40,28
2021,Apr,Connecticut,Women's Apparel,Online,36,7
2021,Apr,Connecticut,Women's Apparel,Outlet,26,9
2021,Apr,Connecticut,Women's Athletic Footwear,In-store,35,13
2021,Apr,Connecticut,Women's Athletic Footwear,Online,32,4
