Date,State,Sales Method,Product,Price per Unit,Units Sold
2020-01-01,New York,In-store,Men's Street Footwear,50,120
2020-01-01,New York,Online,Men's Street Footwear,47,34
2020-01-01,New York,Outlet,Men's Street Footwear,34,38
2020-01-01,Pennsylvania,Online,Women's Apparel,68,8
2020-01-01,Pennsylvania,Outlet,Women's Apparel,128,36
2020-01-02,New York,In-store,Men's Athletic Footwear,50,100
2020-01-02,New York,Online,Men's Athletic Footwear,47,26
2020-01-02,New York,Outlet,Men's Athletic Footwear,36,32
2020-01-02,Pennsylvania,Online,Men's Street Footwear,32,12
2020-01-02,Pennsylvania,Outlet,Men's Street Footwear,62,61
2020-01-03,New York,In-store,Women's Street Footwear,40,100
2020-01-03,New York,Online,Women's Street Footwear,36,25
2020-01-03,New York,Outlet,Women's Street Footwear,32,35
2020-01-03,Pennsylvania,Online,Men's Athletic Footwear,44,12
2020-01-03,Pennsylvania,Outlet,Men's Athletic Footwear,80,59
2020-01-04,New York,In-store,Women's Athletic Footwear,45,85
2020-01-04,New York,Online,Women's Athletic Footwear,41,25
2020-01-04,New York,Outlet,Women's Athletic Footwear,36,28
2020-01-04,Pennsylvania,Online,Women's Street Footwear,41,12
2020-01-04,Pennsylvania,Outlet,Women's Street Footwear,81,59
2020-01-05,New York,In-store,Men's Apparel,60,90
2020-01-05,New York,Online,Men's Apparel,55,23
2020-01-05,New York,Outlet,Men's Apparel,43,31
2020-01-05,Pennsylvania,Online,Women's Athletic Footwear,43,9
2020-01-05,Pennsylvania,Outlet,Women's Athletic Footwear,79,39
2020-01-06,Nevada,Online,Men's Apparel,47,7
2020-01-06,Nevada,Outlet,Men's Apparel,87,33
2020-01-06,New York,In-store,Women's Apparel,50,100
2020-01-06,New York,Online,Women's Apparel,46,26
2020-01-06,New York,Outlet,Women's Apparel,38,33
2020-01-07,Nevada,Online,Women's Apparel,41,13
2020-01-07,Nevada,Outlet,Women's Apparel,81,65
2020-01-07,New York,In-store,Men's Street Footwear,50,125
2020-01-07,New York,Online,Men's Street Footwear,46,31
2020-01-07,New York,Outlet,Men's Street Footwear,33,39
2020-01-08,Nevada,Online,Men's Street Footwear,34,16
2020-01-08,Nevada,Outlet,Men's Street Footwear,62,70
2020-01-08,New York,Online,Men's Athletic Footwear,46,26
2020-01-08,New York,Outlet,Men's Athletic Footwear,89,122
2020-01-09,Nevada,Online,Men's Athletic Footwear,43,13
2020-01-09,Nevada,Outlet,Men's Athletic Footwear,80,58
2020-01-10,Nevada,Online,Women's Street Footwear,41,12
2020-01-10,Nevada,Outlet,Women's Street Footwear,76,57
2020-01-11,Nevada,Online,Women's Athletic Footwear,44,7
2020-01-11,Nevada,Outlet,Women's Athletic Footwear,75,37
2020-01-12,Nevada,Online,Men's Apparel,46,5
2020-01-12,Nevada,Outlet,Men's Apparel,87,27
2020-01-13,Nevada,Online,Women's Apparel,41,12
2020-01-13,Nevada,Outlet,Women's Apparel,76,54
2020-01-14,Nevada,Online,Men's Street Footwear,43,16
2020-01-14,Nevada,Outlet,Men's Street Footwear,76,73
2020-01-15,Nevada,Online,Men's Athletic Footwear,50,12
2020-01-15,Nevada,Outlet,Men's Athletic Footwear,97,52
2020-01-16,Nevada,Online,Women's Street Footwear,52,10
2020-01-16,Nevada,Outlet,Women's Street Footwear,98,53
2020-01-17,Nevada,Online,Women's Athletic Footwear,50,8
2020-01-17,Nevada,Outlet,Women's Athletic Footwear,96,39
2020-01-18,Nevada,Online,Men's Apparel,55,5
2020-01-18,Nevada,Outlet,Men's Apparel,104,24
2020-01-19,Nevada,Online,Women's Apparel,54,9
2020-01-19,Nevada,Outlet,Women's Apparel,94,50
2020-01-20,Nevada,Online,Men's Street Footwear,58,14
2020-01-20,Nevada,Outlet,Men's Street Footwear,101,72
2020-01-21,Nevada,Online,Men's Athletic Footwear,62,10
2020-01-21,Nevada,Outlet,Men's Athletic Footwear,111,47
2020-01-21,New York,Online,Women's Street Footwear,36,28
2020-01-21,New York,Outlet,Women's Street Footwear,72,127
2020-01-22,Nevada,Online,Women's Street Footwear,61,12
2020-01-22,Nevada,Outlet,Women's Street Footwear,112,52
2020-01-22,New York,Online,Women's Athletic Footwear,44,21
2020-01-22,New York,Outlet,Women's Athletic Footwear,77,108
2020-01-23,Nevada,Online,Women's Athletic Footwear,59,8
2020-01-23,Nevada,Outlet,Women's Athletic Footwear,100,39
2020-01-23,New York,Online,Men's Apparel,58,24
2020-01-23,New York,Outlet,Men's Apparel,103,121
2020-01-24,Nevada,Online,Men's Apparel,63,5
2020-01-24,Nevada,Outlet,Men's Apparel,112,26
2020-01-24,New York,Online,Women's Apparel,48,29
2020-01-24,New York,Outlet,Women's Apparel,86,135
2020-01-25,Nevada,Online,Women's Apparel,78,10
2020-01-25,Nevada,Outlet,Women's Apparel,134,47
2020-01-25,New York,Online,Men's Street Footwear,46,35
2020-01-25,New York,Outlet,Men's Street Footwear,90,161
2020-01-26,Nevada,Online,Men's Street Footwear,58,15
2020-01-26,Nevada,Outlet,Men's Street Footwear,103,72
2020-01-26,New York,Online,Men's Athletic Footwear,48,26
2020-01-26,New York,Outlet,Men's Athletic Footwear,85,125
2020-01-27,Nevada,Online,Men's Athletic Footwear,60,10
2020-01-27,Nevada,Outlet,Men's Athletic Footwear,108,52
2020-01-27,New York,Online,Women's Street Footwear,39,25
2020-01-27,New York,Outlet,Women's Street Footwear,67,126
2020-01-28,Nevada,Online,Women's Street Footwear,63,12
2020-01-28,Nevada,Outlet,Women's Street Footwear,114,53
2020-01-28,New York,Online,Women's Athletic Footwear,43,22
2020-01-28,New York,Outlet,Women's Athletic Footwear,76,104
2020-01-29,Nevada,Online,Women's Athletic Footwear,57,9
2020-01-29,Nevada,Outlet,Women's Athletic Footwear,107,41
2020-01-29,New York,Online,Men's Apparel,59,23
2020-01-29,New York,Outlet,Men's Apparel,103,114
2020-01-30,Nevada,Online,Men's Apparel,60,6
2020-01-30,Nevada,Outlet,Men's Apparel,108,27
2020-01-30,New York,Online,Women's Apparel,45,24
2020-01-30,New York,Outlet,Women's Apparel,86,127
2020-01-31,Nevada,Online,Women's Apparel,78,13
2020-01-31,Nevada,Outlet,Women's Apparel,134,59
2020-01-31,New York,Online,Men's Street Footwear,45,30
2020-01-31,New York,Outlet,Men's Street Footwear,83,157
2020-02-01,Nevada,Online,Men's Street Footwear,56,19
2020-02-01,Nevada,Outlet,Men's Street Footwear,107,95
2020-02-01,New York,Online,Men's Athletic Footwear,47,23
2020-02-01,New York,Outlet,Men's Athletic Footwear,85,122
2020-02-02,Nevada,Online,Men's Athletic Footwear,62,17
2020-02-02,Nevada,Outlet,Men's Athletic Footwear,116,73
2020-02-02,New York,Online,Women's Street Footwear,39,25
2020-02-02,New York,Outlet,Women's Street Footwear,68,122
2020-02-03,Nevada,Online,Women's Street Footwear,62,17
2020-02-03,Nevada,Outlet,Women's Street Footwear,111,73
2020-02-03,New York,Online,Women's Athletic Footwear,41,24
2020-02-03,New York,Outlet,Women's Athletic Footwear,76,112
2020-02-04,Nevada,Online,Women's Athletic Footwear,58,11
2020-02-04,Nevada,Outlet,Women's Athletic Footwear,107,58
2020-02-04,New York,Online,Men's Apparel,56,22
2020-02-04,New York,Outlet,Men's Apparel,104,111
2020-02-05,Nevada,Online,Men's Apparel,59,8
2020-02-05,Nevada,Outlet,Men's Apparel,112,41
2020-02-05,New York,Online,Women's Apparel,49,24
2020-02-05,New York,Outlet,Women's Apparel,89,128
2020-02-06,Nevada,Online,Women's Apparel,73,17
2020-02-06,Nevada,Outlet,Women's Apparel,137,79
2020-02-06,New York,Online,Men's Street Footwear,54,32
2020-02-06,New York,Outlet,Men's Street Footwear,104,159
2020-02-07,Nevada,Online,Men's Street Footwear,58,22
2020-02-07,Nevada,Outlet,Men's Street Footwear,108,98
2020-02-07,New York,Online,Men's Athletic Footwear,50,26
2020-02-07,New York,Outlet,Men's Athletic Footwear,92,123
2020-02-08,Nevada,Online,Men's Athletic Footwear,61,17
2020-02-08,Nevada,Outlet,Men's Athletic Footwear,111,80
2020-02-08,New York,Online,Women's Street Footwear,46,26
2020-02-08,New York,Outlet,Women's Street Footwear,86,119
2020-02-09,Nevada,In-store,Women's Street Footwear,65,55
2020-02-09,Nevada,Online,Women's Street Footwear,61,14
2020-02-09,Nevada,Outlet,Women's Street Footwear,47,17
2020-02-09,New York,Online,Women's Athletic Footwear,46,23
2020-02-09,New York,Outlet,Women's Athletic Footwear,83,114
2020-02-10,Nevada,In-store,Women's Athletic Footwear,60,45
2020-02-10,Nevada,Online,Women's Athletic Footwear,55,12
2020-02-10,Nevada,Outlet,Women's Athletic Footwear,46,14
2020-02-10,New York,Online,Men's Apparel,59,25
2020-02-10,New York,Outlet,Men's Apparel,107,116
2020-02-11,Nevada,In-store,Men's Apparel,65,50
2020-02-11,Nevada,Online,Men's Apparel,60,13
2020-02-11,Nevada,Outlet,Men's Apparel,47,15
2020-02-12,Nevada,In-store,Women's Apparel,80,50
2020-02-12,Nevada,Online,Women's Apparel,78,15
2020-02-12,Nevada,Outlet,Women's Apparel,61,17
2020-02-13,Nevada,In-store,Men's Street Footwear,65,70
2020-02-13,Nevada,Online,Men's Street Footwear,62,21
2020-02-13,Nevada,Outlet,Men's Street Footwear,44,24
2020-02-14,Nevada,In-store,Men's Athletic Footwear,70,65
2020-02-14,Nevada,Online,Men's Athletic Footwear,64,18
2020-02-14,Nevada,Outlet,Men's Athletic Footwear,56,21
2020-02-15,Nevada,In-store,Women's Street Footwear,65,53
2020-02-15,Nevada,Online,Women's Street Footwear,60,15
2020-02-15,Nevada,Outlet,Women's Street Footwear,44,18
2020-02-16,Nevada,In-store,Women's Athletic Footwear,65,48
2020-02-16,Nevada,Online,Women's Athletic Footwear,64,12
2020-02-16,Nevada,Outlet,Women's Athletic Footwear,42,15
2020-02-17,Nevada,In-store,Men's Apparel,75,48
2020-02-17,Nevada,Online,Men's Apparel,68,14
2020-02-17,Nevada,Outlet,Men's Apparel,50,15
2020-02-18,Nevada,In-store,Women's Apparel,80,40
2020-02-18,Nevada,Online,Women's Apparel,78,11
2020-02-18,Nevada,Outlet,Women's Apparel,55,13
2020-02-19,Nevada,In-store,Men's Street Footwear,60,60
2020-02-19,Nevada,Online,Men's Street Footwear,56,17
2020-02-19,Nevada,Outlet,Men's Street Footwear,41,19
2020-02-20,Nevada,In-store,Men's Athletic Footwear,65,60
2020-02-20,Nevada,Online,Men's Athletic Footwear,61,16
2020-02-20,Nevada,Outlet,Men's Athletic Footwear,51,18
2020-02-21,Nevada,In-store,Women's Street Footwear,60,45
2020-02-21,Nevada,Online,Women's Street Footwear,57,12
2020-02-21,Nevada,Outlet,Women's Street Footwear,46,14
2020-02-22,Nevada,In-store,Women's Athletic Footwear,60,40
2020-02-22,Nevada,Online,Women's Athletic Footwear,58,11
2020-02-22,Nevada,Outlet,Women's Athletic Footwear,43,12
2020-02-23,Nevada,In-store,Men's Apparel,70,40
2020-02-23,Nevada,Online,Men's Apparel,67,12
2020-02-23,Nevada,Outlet,Men's Apparel,53,13
2020-02-24,Nevada,In-store,Women's Apparel,75,45
2020-02-24,Nevada,Online,Women's Apparel,74,11
2020-02-24,Nevada,Outlet,Women's Apparel,54,14
2020-02-25,Nevada,In-store,Men's Street Footwear,60,55
2020-02-25,Nevada,Online,Men's Street Footwear,56,14
2020-02-25,Nevada,Outlet,Men's Street Footwear,47,17
2020-02-26,Nevada,In-store,Men's Athletic Footwear,65,55
2020-02-26,Nevada,Online,Men's Athletic Footwear,59,17
2020-02-26,Nevada,Outlet,Men's Athletic Footwear,50,19
2020-02-27,Nevada,In-store,Women's Street Footwear,60,38
2020-02-27,Nevada,Online,Women's Street Footwear,54,11
2020-02-27,Nevada,Outlet,Women's Street Footwear,47,11
2020-02-28,Nevada,In-store,Women's Athletic Footwear,60,35
2020-02-28,Nevada,Online,Women's Athletic Footwear,54,11
2020-02-28,Nevada,Outlet,Women's Athletic Footwear,43,12
2020-03-01,Nevada,In-store,Men's Apparel,70,33
2020-03-01,Nevada,Online,Men's Apparel,63,8
2020-03-01,Nevada,Outlet,Men's Apparel,48,11
2020-03-02,Nevada,In-store,Women's Apparel,75,38
2020-03-02,Nevada,Online,Women's Apparel,68,9
2020-03-02,Nevada,Outlet,Women's Apparel,53,12
2020-03-03,Nevada,In-store,Men's Street Footwear,60,58
2020-03-03,Nevada,Online,Men's Street Footwear,57,16
2020-03-03,Nevada,Outlet,Men's Street Footwear,47,20
2020-03-03,New York,Online,Women's Apparel,59,29
2020-03-03,New York,Outlet,Women's Apparel,109,132
2020-03-04,Nevada,In-store,Men's Athletic Footwear,65,58
2020-03-04,Nevada,Online,Men's Athletic Footwear,64,15
2020-03-04,Nevada,Outlet,Men's Athletic Footwear,52,20
2020-03-04,New York,Online,Men's Street Footwear,55,31
2020-03-04,New York,Outlet,Men's Street Footwear,107,165
2020-03-05,Nevada,In-store,Women's Street Footwear,60,43
2020-03-05,Nevada,Online,Women's Street Footwear,55,11
2020-03-05,Nevada,Outlet,Women's Street Footwear,44,14
2020-03-05,New York,Online,Men's Athletic Footwear,54,27
2020-03-05,New York,Outlet,Men's Athletic Footwear,96,134
2020-03-06,Nevada,In-store,Women's Athletic Footwear,60,40
2020-03-06,Nevada,Online,Women's Athletic Footwear,56,11
2020-03-06,Nevada,Outlet,Women's Athletic Footwear,43,13
2020-03-06,New York,Online,Women's Street Footwear,46,28
2020-03-06,New York,Outlet,Women's Street Footwear,87,123
2020-03-07,Nevada,In-store,Men's Apparel,70,35
2020-03-07,Nevada,Online,Men's Apparel,64,9
2020-03-07,Nevada,Outlet,Men's Apparel,46,12
2020-03-07,New York,Online,Women's Athletic Footwear,47,26
2020-03-07,New York,Outlet,Women's Athletic Footwear,88,120
2020-03-08,Nevada,In-store,Women's Apparel,75,48
2020-03-08,Nevada,Online,Women's Apparel,68,13
2020-03-08,Nevada,Outlet,Women's Apparel,51,16
2020-03-08,New York,Online,Men's Apparel,55,25
2020-03-08,New York,Outlet,Men's Apparel,105,119
2020-03-09,Nevada,In-store,Men's Street Footwear,60,68
2020-03-09,Nevada,Online,Men's Street Footwear,58,20
2020-03-09,Nevada,Outlet,Men's Street Footwear,47,22
2020-03-09,New York,Online,Women's Apparel,64,31
2020-03-09,New York,Outlet,Women's Apparel,111,140
2020-03-10,Nevada,In-store,Men's Athletic Footwear,65,68
2020-03-10,Nevada,Online,Men's Athletic Footwear,62,19
2020-03-10,Nevada,Outlet,Men's Athletic Footwear,50,21
2020-03-10,New York,Online,Men's Street Footwear,59,32
2020-03-10,New York,Outlet,Men's Street Footwear,104,171
2020-03-11,Nevada,In-store,Women's Street Footwear,60,48
2020-03-11,Nevada,Online,Women's Street Footwear,59,12
2020-03-11,Nevada,Outlet,Women's Street Footwear,47,17
2020-03-11,New York,Online,Men's Athletic Footwear,53,27
2020-03-11,New York,Outlet,Men's Athletic Footwear,96,135
2020-03-12,Nevada,In-store,Women's Athletic Footwear,60,48
2020-03-12,Nevada,Online,Women's Athletic Footwear,57,13
2020-03-12,Nevada,Outlet,Women's Athletic Footwear,40,17
2020-03-12,New York,Online,Women's Street Footwear,46,25
2020-03-12,New York,Outlet,Women's Street Footwear,85,125
2020-03-13,Nevada,In-store,Men's Apparel,70,40
2020-03-13,Nevada,Online,Men's Apparel,69,11
2020-03-13,Nevada,Outlet,Men's Apparel,49,14
2020-03-13,New York,Online,Women's Athletic Footwear,46,24
2020-03-13,New York,Outlet,Women's Athletic Footwear,85,117
2020-03-14,Nevada,In-store,Women's Apparel,75,50
2020-03-14,Nevada,Online,Women's Apparel,74,15
2020-03-14,Nevada,Outlet,Women's Apparel,56,17
2020-03-14,New York,Online,Men's Apparel,58,23
2020-03-14,New York,Outlet,Men's Apparel,106,121
2020-03-15,Nevada,In-store,Men's Street Footwear,30,43
2020-03-15,Nevada,Online,Men's Street Footwear,28,12
2020-03-15,Nevada,Outlet,Men's Street Footwear,20,15
2020-03-15,New York,Online,Women's Apparel,61,29
2020-03-15,New York,Outlet,Women's Apparel,112,145
2020-03-16,Nevada,In-store,Men's Athletic Footwear,40,43
2020-03-16,Nevada,Online,Men's Athletic Footwear,38,12
2020-03-16,Nevada,Outlet,Men's Athletic Footwear,31,15
2020-03-16,New York,Online,Men's Street Footwear,58,33
2020-03-16,New York,Outlet,Men's Street Footwear,101,163
2020-03-17,Nevada,In-store,Women's Street Footwear,40,43
2020-03-17,Nevada,Online,Women's Street Footwear,39,12
2020-03-17,Nevada,Outlet,Women's Street Footwear,26,13
2020-03-17,New York,Online,Men's Athletic Footwear,53,31
2020-03-17,New York,Outlet,Men's Athletic Footwear,92,139
2020-03-18,Nevada,In-store,Women's Athletic Footwear,40,28
2020-03-18,Nevada,Online,Women's Athletic Footwear,38,7
2020-03-18,Nevada,Outlet,Women's Athletic Footwear,26,10
2020-03-18,New York,Online,Women's Street Footwear,45,26
2020-03-18,New York,Outlet,Women's Street Footwear,87,126
2020-03-19,Colorado,In-store,Men's Apparel,45,23
2020-03-19,Colorado,Online,Men's Apparel,41,6
2020-03-20,Colorado,In-store,Women's Apparel,40,48
2020-03-20,Colorado,Online,Women's Apparel,37,13
2020-03-21,Colorado,In-store,Men's Street Footwear,30,53
2020-03-21,Colorado,Online,Men's Street Footwear,27,13
2020-03-22,Colorado,In-store,Men's Athletic Footwear,40,43
2020-03-22,Colorado,Online,Men's Athletic Footwear,38,11
2020-03-23,Colorado,In-store,Women's Street Footwear,40,43
2020-03-23,Colorado,Online,Women's Street Footwear,38,12
2020-03-24,Colorado,In-store,Women's Athletic Footwear,40,28
2020-03-24,Colorado,Online,Women's Athletic Footwear,36,7
2020-03-25,Colorado,In-store,Men's Apparel,45,20
2020-03-25,Colorado,Online,Men's Apparel,43,6
2020-03-26,Colorado,In-store,Women's Apparel,40,40
2020-03-26,Colorado,Online,Women's Apparel,37,12
2020-03-27,Colorado,In-store,Men's Street Footwear,40,55
2020-03-27,Colorado,Online,Men's Street Footwear,37,17
2020-03-28,Colorado,In-store,Men's Athletic Footwear,50,40
2020-03-28,Colorado,Online,Men's Athletic Footwear,48,11
2020-03-29,Colorado,In-store,Women's Street Footwear,55,40
2020-03-29,Colorado,Online,Women's Street Footwear,51,12
2020-03-30,Colorado,In-store,Women's Athletic Footwear,55,30
2020-03-30,Colorado,Online,Women's Athletic Footwear,51,9
2020-03-31,Colorado,In-store,Men's Apparel,60,15
2020-03-31,Colorado,Online,Men's Apparel,56,4
2020-03-31,New York,Online,Women's Athletic Footwear,47,24
2020-03-31,New York,Outlet,Women's Athletic Footwear,90,125
2020-04-01,Colorado,In-store,Women's Apparel,55,35
2020-04-01,Colorado,Online,Women's Apparel,52,10
2020-04-02,Colorado,In-store,Men's Street Footwear,60,53
2020-04-02,Colorado,Online,Men's Street Footwear,55,13
2020-04-03,Colorado,In-store,Men's Athletic Footwear,65,33
2020-04-03,Colorado,Online,Men's Athletic Footwear,59,9
2020-04-04,Colorado,In-store,Women's Street Footwear,65,38
2020-04-04,Colorado,Online,Women's Street Footwear,61,11
2020-04-05,Colorado,In-store,Women's Athletic Footwear,60,28
2020-04-05,Colorado,Online,Women's Athletic Footwear,56,7
2020-04-06,Colorado,In-store,Men's Apparel,65,18
2020-04-06,Colorado,Online,Men's Apparel,62,4
2020-04-07,Colorado,In-store,Women's Apparel,80,33
2020-04-07,Colorado,Online,Women's Apparel,72,10
2020-04-08,Colorado,In-store,Men's Street Footwear,60,53
2020-04-08,Colorado,Online,Men's Street Footwear,55,13
2020-04-09,Colorado,In-store,Men's Athletic Footwear,65,38
2020-04-09,Colorado,Online,Men's Athletic Footwear,60,11
2020-04-10,Colorado,In-store,Women's Street Footwear,65,38
2020-04-10,Colorado,Online,Women's Street Footwear,59,10
2020-04-11,Colorado,In-store,Women's Athletic Footwear,60,28
2020-04-11,Colorado,Online,Women's Athletic Footwear,58,7
2020-04-12,Colorado,In-store,Men's Apparel,65,18
2020-04-12,Colorado,Online,Men's Apparel,63,4
2020-04-13,Colorado,In-store,Women's Apparel,80,48
2020-04-13,Colorado,Online,Women's Apparel,74,13
2020-04-14,Colorado,In-store,Men's Street Footwear,60,73
2020-04-14,Colorado,Online,Men's Street Footwear,54,19
2020-04-15,Colorado,In-store,Men's Athletic Footwear,65,58
2020-04-15,Colorado,Online,Men's Athletic Footwear,59,14
2020-04-16,Colorado,In-store,Women's Street Footwear,65,58
2020-04-16,Colorado,Online,Women's Street Footwear,64,15
2020-04-17,Colorado,In-store,Women's Athletic Footwear,65,45
2020-04-17,Colorado,Online,Women's Athletic Footwear,62,14
2020-04-17,New York,Online,Men's Apparel,54,27
2020-04-17,New York,Outlet,Men's Apparel,103,118
2020-04-18,Colorado,In-store,Men's Apparel,70,33
2020-04-18,Colorado,Online,Men's Apparel,66,9
2020-04-18,New York,Online,Women's Apparel,62,29
2020-04-18,New York,Outlet,Women's Apparel,113,144
2020-04-19,Colorado,In-store,Women's Apparel,85,63
2020-04-19,Colorado,Online,Women's Apparel,83,18
2020-04-19,New York,Online,Men's Street Footwear,56,36
2020-04-19,New York,Outlet,Men's Street Footwear,99,161
2020-04-20,Colorado,In-store,Men's Street Footwear,65,78
2020-04-20,Colorado,Online,Men's Street Footwear,64,20
2020-04-20,New York,Online,Men's Athletic Footwear,50,27
2020-04-20,New York,Outlet,Men's Athletic Footwear,98,135
2020-04-21,Colorado,In-store,Men's Athletic Footwear,70,63
2020-04-21,Colorado,Online,Men's Athletic Footwear,67,19
2020-04-21,New York,Online,Women's Street Footwear,47,27
2020-04-21,New York,Outlet,Women's Street Footwear,86,125
